estado;handle;titulo;ps_product_ids;que_hace_falta;admin
ESPERA_CODIGO;p-8041-frosted-acrylic-va-state-cutout-on-black-plaque;Frosted Acrylic VA State Cutout on Black Plaque;CD953VA;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8675
ESPERA_CODIGO;p-8042-frosted-acrylic-vt-state-cutout-on-black-plaque;Frosted Acrylic VT State Cutout on Black Plaque;CD953VT;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8676
ESPERA_CODIGO;p-8043-frosted-acrylic-wa-state-cutout-on-black-plaque;Frosted Acrylic WA State Cutout on Black Plaque;CD953WA;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8677
ESPERA_CODIGO;p-8044-frosted-acrylic-wi-state-cutout-on-black-plaque;Frosted Acrylic WI State Cutout on Black Plaque;CD953WI;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8678
ESPERA_CODIGO;p-8045-frosted-acrylic-wv-state-cutout-on-black-plaque;Frosted Acrylic WV State Cutout on Black Plaque;CD953WV;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8679
ESPERA_CODIGO;p-8046-frosted-acrylic-wy-state-cutout-on-black-plaque;Frosted Acrylic WY State Cutout on Black Plaque;CD953WY;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8680
ESPERA_CODIGO;p-8077-leatherette-beverage-holder;Leatherette Beverage Holder;CM289BB CM289BV CM289WM;la unión alcanzaría ids de otro producto (CM289*);https://admin.shopify.com/store/trophy-partner/products?query=PS8908
ESPERA_CODIGO;p-8082-leatherette-flask;Leatherette Flask;CM286BB CM286BV CM286WM;la unión alcanzaría ids de otro producto (CM286*);https://admin.shopify.com/store/trophy-partner/products?query=PS8976
ESPERA_CODIGO;p-8085-leatherette-journal;Leatherette Journal;CM415BB CM415BV CM415WM;la unión alcanzaría ids de otro producto (CM415*);https://admin.shopify.com/store/trophy-partner/products?query=PS8997
ESPERA_CODIGO;p-8151-red-accent-clear-center-crystal;Red Accent Clear Center Crystal;GM809ARE GM809BRE GM809CRE;la unión alcanzaría ids de otro producto (GM809A* GM809B* GM809C*);https://admin.shopify.com/store/trophy-partner/products?query=PS9323
ESPERA_CODIGO;p-8160-rectangular-digi-color-lucite-ribbon-award;Rectangular Digi Color Lucite Ribbon Award;DCCD424ARB DCCD424BRB;la unión alcanzaría ids de otro producto (DCCD424** DCCD425**);https://admin.shopify.com/store/trophy-partner/products?query=PS9350
ESPERA_CODIGO;p-8712-blue-accent-clear-center-crystal;Blue  Accent Clear Center Crystal;GM809ABL GM809BBL GM809CBL;la unión alcanzaría ids de otro producto (GM809A* GM809B* GM809C*);https://admin.shopify.com/store/trophy-partner/products?query=PS10044
ESPERA_CODIGO;p-8715-blue-diamond-carve-lucite-octagon-plaque;Blue Diamond Carve Lucite Octagon Plaque;C1407LB;la unión alcanzaría ids de otro producto (C1407L*);https://admin.shopify.com/store/trophy-partner/products?query=PS10084
